,id,basin_origin_name,basin_origin_id,basin_dest_name,basin_dest_id,MSG_reg,status,time,vol_yr_km3,vol_yr_MCM,runoff_km3,vol_mon_km3,vol_mon_MCM,length_km,energy_con_GWh,energy_con_MWh_MCM,invest_cost_bUSD,inv_cost_USD_MCM,fixed_cost_USD_MCM,var_cost_USD_MCM
0,1,Yangtze,159|CHN,China Coast,35|CHN,CHN,Existing,year,7.72,7720,,,0,309.85,257,33.29015544,,,38,167
1,1,Yangtze,159|CHN,China Coast,35|CHN,CHN,Existing,1,7.72,7720,46.046056,0.291566588,291.566588,309.85,257,33.29015544,,,38,167
2,1,Yangtze,159|CHN,China Coast,35|CHN,CHN,Existing,2,7.72,7720,48.407726,0.306520835,306.520835,309.85,257,33.29015544,,,38,167
3,1,Yangtze,159|CHN,China Coast,35|CHN,CHN,Existing,3,7.72,7720,74.086165,0.469118362,469.118362,309.85,257,33.29015544,,,38,167
4,1,Yangtze,159|CHN,China Coast,35|CHN,CHN,Existing,4,7.72,7720,97.072668,0.614670378,614.670378,309.85,257,33.29015544,,,38,167
5,1,Yangtze,159|CHN,China Coast,35|CHN,CHN,Existing,5,7.72,7720,132.570034,0.839441983,839.441983,309.85,257,33.29015544,,,38,167
6,1,Yangtze,159|CHN,China Coast,35|CHN,CHN,Existing,6,7.72,7720,174.728938,1.106394874,1106.394874,309.85,257,33.29015544,,,38,167
7,1,Yangtze,159|CHN,China Coast,35|CHN,CHN,Existing,7,7.72,7720,181.399557,1.148633663,1148.633663,309.85,257,33.29015544,,,38,167
8,1,Yangtze,159|CHN,China Coast,35|CHN,CHN,Existing,8,7.72,7720,142.884207,0.904751989,904.751989,309.85,257,33.29015544,,,38,167
9,1,Yangtze,159|CHN,China Coast,35|CHN,CHN,Existing,9,7.72,7720,114.418885,0.72450774,724.50774,309.85,257,33.29015544,,,38,167
10,1,Yangtze,159|CHN,China Coast,35|CHN,CHN,Existing,10,7.72,7720,89.810121,0.568683463,568.683463,309.85,257,33.29015544,,,38,167
11,1,Yangtze,159|CHN,China Coast,35|CHN,CHN,Existing,11,7.72,7720,68.031734,0.430781316,430.781316,309.85,257,33.29015544,,,38,167
12,1,Yangtze,159|CHN,China Coast,35|CHN,CHN,Existing,12,7.72,7720,49.735567,0.314928809,314.928809,309.85,257,33.29015544,,,38,167
13,2,Yangtze,159|CHN,Ziya He Interior,162|CHN,CHN,Existing,year,5.73,5730,,,0,1178.88,1891,330.017452,,,377,1650
14,2,Yangtze,159|CHN,Ziya He Interior,162|CHN,CHN,Existing,1,5.73,5730,0.894802,0.11717342,117.17342,1178.88,1891,330.017452,,,377,1650
15,2,Yangtze,159|CHN,Ziya He Interior,162|CHN,CHN,Existing,2,5.73,5730,0.869659,0.11388097,113.88097,1178.88,1891,330.017452,,,377,1650
16,2,Yangtze,159|CHN,Ziya He Interior,162|CHN,CHN,Existing,3,5.73,5730,1.712559,0.224257875,224.257875,1178.88,1891,330.017452,,,377,1650
17,2,Yangtze,159|CHN,Ziya He Interior,162|CHN,CHN,Existing,4,5.73,5730,2.948241,0.386069188,386.069188,1178.88,1891,330.017452,,,377,1650
18,2,Yangtze,159|CHN,Ziya He Interior,162|CHN,CHN,Existing,5,5.73,5730,4.044866,0.529671126,529.671126,1178.88,1891,330.017452,,,377,1650
19,2,Yangtze,159|CHN,Ziya He Interior,162|CHN,CHN,Existing,6,5.73,5730,4.391159,0.575017845,575.017845,1178.88,1891,330.017452,,,377,1650
20,2,Yangtze,159|CHN,Ziya He Interior,162|CHN,CHN,Existing,7,5.73,5730,6.946454,0.90963115,909.63115,1178.88,1891,330.017452,,,377,1650
21,2,Yangtze,159|CHN,Ziya He Interior,162|CHN,CHN,Existing,8,5.73,5730,6.002041,0.78596122,785.96122,1178.88,1891,330.017452,,,377,1650
22,2,Yangtze,159|CHN,Ziya He Interior,162|CHN,CHN,Existing,9,5.73,5730,6.411617,0.839594784,839.594784,1178.88,1891,330.017452,,,377,1650
23,2,Yangtze,159|CHN,Ziya He Interior,162|CHN,CHN,Existing,10,5.73,5730,5.189427,0.679550235,679.550235,1178.88,1891,330.017452,,,377,1650
24,2,Yangtze,159|CHN,Ziya He Interior,162|CHN,CHN,Existing,11,5.73,5730,2.866914,0.375419499,375.419499,1178.88,1891,330.017452,,,377,1650
25,2,Yangtze,159|CHN,Ziya He Interior,162|CHN,CHN,Existing,12,5.73,5730,1.479757,0.193772688,193.772688,1178.88,1891,330.017452,,,377,1650
26,3,Yangtze,159|CHN,China Coast,35|CHN,CHN,Existing,year,3.38,3380,,,0,1236.5,307,90.82840237,,,104,454
27,3,Yangtze,159|CHN,China Coast,35|CHN,CHN,Existing,1,3.38,3380,46.046056,0.127654802,127.654802,1236.5,307,90.82840237,,,104,454
28,3,Yangtze,159|CHN,China Coast,35|CHN,CHN,Existing,2,3.38,3380,48.407726,0.134202127,134.202127,1236.5,307,90.82840237,,,104,454
29,3,Yangtze,159|CHN,China Coast,35|CHN,CHN,Existing,3,3.38,3380,74.086165,0.2053912,205.3912,1236.5,307,90.82840237,,,104,454
30,3,Yangtze,159|CHN,China Coast,35|CHN,CHN,Existing,4,3.38,3380,97.072668,0.269117342,269.117342,1236.5,307,90.82840237,,,104,454
31,3,Yangtze,159|CHN,China Coast,35|CHN,CHN,Existing,5,3.38,3380,132.570034,0.367527707,367.527707,1236.5,307,90.82840237,,,104,454
32,3,Yangtze,159|CHN,China Coast,35|CHN,CHN,Existing,6,3.38,3380,174.728938,0.484406046,484.406046,1236.5,307,90.82840237,,,104,454
33,3,Yangtze,159|CHN,China Coast,35|CHN,CHN,Existing,7,3.38,3380,181.399557,0.502899194,502.899194,1236.5,307,90.82840237,,,104,454
34,3,Yangtze,159|CHN,China Coast,35|CHN,CHN,Existing,8,3.38,3380,142.884207,0.396121985,396.121985,1236.5,307,90.82840237,,,104,454
35,3,Yangtze,159|CHN,China Coast,35|CHN,CHN,Existing,9,3.38,3380,114.418885,0.317206756,317.206756,1236.5,307,90.82840237,,,104,454
36,3,Yangtze,159|CHN,China Coast,35|CHN,CHN,Existing,10,3.38,3380,89.810121,0.248983174,248.983174,1236.5,307,90.82840237,,,104,454
37,3,Yangtze,159|CHN,China Coast,35|CHN,CHN,Existing,11,3.38,3380,68.031734,0.188606327,188.606327,1236.5,307,90.82840237,,,104,454
38,3,Yangtze,159|CHN,China Coast,35|CHN,CHN,Existing,12,3.38,3380,49.735567,0.137883339,137.883339,1236.5,307,90.82840237,,,104,454
39,4,Huang He,62|CHN,Ziya He Interior,162|CHN,CHN,Existing,year,3.02,3020,,,0,415.9,0,0,,,0,0
40,4,Huang He,62|CHN,Ziya He Interior,162|CHN,CHN,Existing,1,3.02,3020,4.975242,0.121512127,121.512127,415.9,0,0,,,0,0
41,4,Huang He,62|CHN,Ziya He Interior,162|CHN,CHN,Existing,2,3.02,3020,4.490979,0.109684797,109.684797,415.9,0,0,,,0,0
42,4,Huang He,62|CHN,Ziya He Interior,162|CHN,CHN,Existing,3,3.02,3020,5.684062,0.138823893,138.823893,415.9,0,0,,,0,0
43,4,Huang He,62|CHN,Ziya He Interior,162|CHN,CHN,Existing,4,3.02,3020,6.937986,0.16944893,169.44893,415.9,0,0,,,0,0
44,4,Huang He,62|CHN,Ziya He Interior,162|CHN,CHN,Existing,5,3.02,3020,10.505534,0.256580439,256.580439,415.9,0,0,,,0,0
45,4,Huang He,62|CHN,Ziya He Interior,162|CHN,CHN,Existing,6,3.02,3020,13.252261,0.323664742,323.664742,415.9,0,0,,,0,0
46,4,Huang He,62|CHN,Ziya He Interior,162|CHN,CHN,Existing,7,3.02,3020,18.307814,0.447138333,447.138333,415.9,0,0,,,0,0
47,4,Huang He,62|CHN,Ziya He Interior,162|CHN,CHN,Existing,8,3.02,3020,17.167307,0.419283319,419.283319,415.9,0,0,,,0,0
48,4,Huang He,62|CHN,Ziya He Interior,162|CHN,CHN,Existing,9,3.02,3020,16.283872,0.397706868,397.706868,415.9,0,0,,,0,0
49,4,Huang He,62|CHN,Ziya He Interior,162|CHN,CHN,Existing,10,3.02,3020,12.727509,0.310848534,310.848534,415.9,0,0,,,0,0
50,4,Huang He,62|CHN,Ziya He Interior,162|CHN,CHN,Existing,11,3.02,3020,7.545057,0.184275643,184.275643,415.9,0,0,,,0,0
51,4,Huang He,62|CHN,Ziya He Interior,162|CHN,CHN,Existing,12,3.02,3020,5.774487,0.141032375,141.032375,415.9,0,0,,,0,0
52,5,Huang He,62|CHN,Ziya He Interior,162|CHN,CHN,Existing,year,1.89,1890,,,0,665.02,435,230.1587302,,,263,1151
53,5,Huang He,62|CHN,Ziya He Interior,162|CHN,CHN,Existing,1,1.89,1890,4.834713,0.075365941,75.365941,665.02,435,230.1587302,,,263,1151
54,5,Huang He,62|CHN,Ziya He Interior,162|CHN,CHN,Existing,2,1.89,1890,4.373283,0.068172938,68.172938,665.02,435,230.1587302,,,263,1151
55,5,Huang He,62|CHN,Ziya He Interior,162|CHN,CHN,Existing,3,1.89,1890,5.559875,0.086670132,86.670132,665.02,435,230.1587302,,,263,1151
56,5,Huang He,62|CHN,Ziya He Interior,162|CHN,CHN,Existing,4,1.89,1890,6.820114,0.106315372,106.315372,665.02,435,230.1587302,,,263,1151
57,5,Huang He,62|CHN,Ziya He Interior,162|CHN,CHN,Existing,5,1.89,1890,10.380193,0.161811676,161.811676,665.02,435,230.1587302,,,263,1151
58,5,Huang He,62|CHN,Ziya He Interior,162|CHN,CHN,Existing,6,1.89,1890,13.120795,0.20453356,204.53356,665.02,435,230.1587302,,,263,1151
59,5,Huang He,62|CHN,Ziya He Interior,162|CHN,CHN,Existing,7,1.89,1890,17.934271,0.279568448,279.568448,665.02,435,230.1587302,,,263,1151
60,5,Huang He,62|CHN,Ziya He Interior,162|CHN,CHN,Existing,8,1.89,1890,16.778697,0.261554779,261.554779,665.02,435,230.1587302,,,263,1151
61,5,Huang He,62|CHN,Ziya He Interior,162|CHN,CHN,Existing,9,1.89,1890,15.996471,0.249361046,249.361046,665.02,435,230.1587302,,,263,1151
62,5,Huang He,62|CHN,Ziya He Interior,162|CHN,CHN,Existing,10,1.89,1890,12.492241,0.194735344,194.735344,665.02,435,230.1587302,,,263,1151
63,5,Huang He,62|CHN,Ziya He Interior,162|CHN,CHN,Existing,11,1.89,1890,7.348766,0.114556265,114.556265,665.02,435,230.1587302,,,263,1151
64,5,Huang He,62|CHN,Ziya He Interior,162|CHN,CHN,Existing,12,1.89,1890,5.603777,0.087354498,87.354498,665.02,435,230.1587302,,,263,1151
65,6,Yangtze,159|CHN,Huang He,62|CHN,CHN,Existing,year,1.88,1880,,,0,484.5,0,0,,,0,0
66,6,Yangtze,159|CHN,Huang He,62|CHN,CHN,Existing,1,1.88,1880,0.894802,0.038444333,38.444333,484.5,0,0,,,0,0
67,6,Yangtze,159|CHN,Huang He,62|CHN,CHN,Existing,2,1.88,1880,0.869659,0.037364088,37.364088,484.5,0,0,,,0,0
68,6,Yangtze,159|CHN,Huang He,62|CHN,CHN,Existing,3,1.88,1880,1.712559,0.0735785,73.5785,484.5,0,0,,,0,0
69,6,Yangtze,159|CHN,Huang He,62|CHN,CHN,Existing,4,1.88,1880,2.948241,0.126668425,126.668425,484.5,0,0,,,0,0
70,6,Yangtze,159|CHN,Huang He,62|CHN,CHN,Existing,5,1.88,1880,4.044866,0.173783895,173.783895,484.5,0,0,,,0,0
71,6,Yangtze,159|CHN,Huang He,62|CHN,CHN,Existing,6,1.88,1880,4.391159,0.18866205,188.66205,484.5,0,0,,,0,0
72,6,Yangtze,159|CHN,Huang He,62|CHN,CHN,Existing,7,1.88,1880,6.946454,0.298447917,298.447917,484.5,0,0,,,0,0
73,6,Yangtze,159|CHN,Huang He,62|CHN,CHN,Existing,8,1.88,1880,6.002041,0.257872093,257.872093,484.5,0,0,,,0,0
74,6,Yangtze,159|CHN,Huang He,62|CHN,CHN,Existing,9,1.88,1880,6.411617,0.275469144,275.469144,484.5,0,0,,,0,0
75,6,Yangtze,159|CHN,Huang He,62|CHN,CHN,Existing,10,1.88,1880,5.189427,0.222958891,222.958891,484.5,0,0,,,0,0
76,6,Yangtze,159|CHN,Huang He,62|CHN,CHN,Existing,11,1.88,1880,2.866914,0.123174286,123.174286,484.5,0,0,,,0,0
77,6,Yangtze,159|CHN,Huang He,62|CHN,CHN,Existing,12,1.88,1880,1.479757,0.063576379,63.576379,484.5,0,0,,,0,0
78,7,Yangtze,159|CHN,Ziya He Interior,162|CHN,CHN,Existing,year,0.93,930,,,0,731.81,99,106.4516129,,,121,530
79,7,Yangtze,159|CHN,Ziya He Interior,162|CHN,CHN,Existing,1,0.93,930,46.046056,0.035123954,35.123954,731.81,99,106.4516129,,,121,530
80,7,Yangtze,159|CHN,Ziya He Interior,162|CHN,CHN,Existing,2,0.93,930,48.407726,0.036925437,36.925437,731.81,99,106.4516129,,,121,530
81,7,Yangtze,159|CHN,Ziya He Interior,162|CHN,CHN,Existing,3,0.93,930,74.086165,0.056512963,56.512963,731.81,99,106.4516129,,,121,530
82,7,Yangtze,159|CHN,Ziya He Interior,162|CHN,CHN,Existing,4,0.93,930,97.072668,0.074047079,74.047079,731.81,99,106.4516129,,,121,530
83,7,Yangtze,159|CHN,Ziya He Interior,162|CHN,CHN,Existing,5,0.93,930,132.570034,0.101124488,101.124488,731.81,99,106.4516129,,,121,530
84,7,Yangtze,159|CHN,Ziya He Interior,162|CHN,CHN,Existing,6,0.93,930,174.728938,0.13328332,133.28332,731.81,99,106.4516129,,,121,530
85,7,Yangtze,159|CHN,Ziya He Interior,162|CHN,CHN,Existing,7,0.93,930,181.399557,0.138371672,138.371672,731.81,99,106.4516129,,,121,530
86,7,Yangtze,159|CHN,Ziya He Interior,162|CHN,CHN,Existing,8,0.93,930,142.884207,0.108992144,108.992144,731.81,99,106.4516129,,,121,530
87,7,Yangtze,159|CHN,Ziya He Interior,162|CHN,CHN,Existing,9,0.93,930,114.418885,0.087278782,87.278782,731.81,99,106.4516129,,,121,530
88,7,Yangtze,159|CHN,Ziya He Interior,162|CHN,CHN,Existing,10,0.93,930,89.810121,0.068507205,68.507205,731.81,99,106.4516129,,,121,530
89,7,Yangtze,159|CHN,Ziya He Interior,162|CHN,CHN,Existing,11,0.93,930,68.031734,0.05189464,51.89464,731.81,99,106.4516129,,,121,530
90,7,Yangtze,159|CHN,Ziya He Interior,162|CHN,CHN,Existing,12,0.93,930,49.735567,0.037938315,37.938315,731.81,99,106.4516129,,,121,530
91,8,Yangtze,159|CHN,Huang He,62|CHN,CHN,Existing,year,0.93,930,,,0,598.15,99,106.4516129,,,121,530
92,8,Yangtze,159|CHN,Huang He,62|CHN,CHN,Existing,1,0.93,930,46.046056,0.035123954,35.123954,598.15,99,106.4516129,,,121,530
93,8,Yangtze,159|CHN,Huang He,62|CHN,CHN,Existing,2,0.93,930,48.407726,0.036925437,36.925437,598.15,99,106.4516129,,,121,530
94,8,Yangtze,159|CHN,Huang He,62|CHN,CHN,Existing,3,0.93,930,74.086165,0.056512963,56.512963,598.15,99,106.4516129,,,121,530
95,8,Yangtze,159|CHN,Huang He,62|CHN,CHN,Existing,4,0.93,930,97.072668,0.074047079,74.047079,598.15,99,106.4516129,,,121,530
96,8,Yangtze,159|CHN,Huang He,62|CHN,CHN,Existing,5,0.93,930,132.570034,0.101124488,101.124488,598.15,99,106.4516129,,,121,530
97,8,Yangtze,159|CHN,Huang He,62|CHN,CHN,Existing,6,0.93,930,174.728938,0.13328332,133.28332,598.15,99,106.4516129,,,121,530
98,8,Yangtze,159|CHN,Huang He,62|CHN,CHN,Existing,7,0.93,930,181.399557,0.138371672,138.371672,598.15,99,106.4516129,,,121,530
99,8,Yangtze,159|CHN,Huang He,62|CHN,CHN,Existing,8,0.93,930,142.884207,0.108992144,108.992144,598.15,99,106.4516129,,,121,530
100,8,Yangtze,159|CHN,Huang He,62|CHN,CHN,Existing,9,0.93,930,114.418885,0.087278782,87.278782,598.15,99,106.4516129,,,121,530
101,8,Yangtze,159|CHN,Huang He,62|CHN,CHN,Existing,10,0.93,930,89.810121,0.068507205,68.507205,598.15,99,106.4516129,,,121,530
102,8,Yangtze,159|CHN,Huang He,62|CHN,CHN,Existing,11,0.93,930,68.031734,0.05189464,51.89464,598.15,99,106.4516129,,,121,530
103,8,Yangtze,159|CHN,Huang He,62|CHN,CHN,Existing,12,0.93,930,49.735567,0.037938315,37.938315,598.15,99,106.4516129,,,121,530
104,9,Ob,105|CHN,Gobi Interior,54|CHN,CHN,Existing,year,0.84,840,,,0,327.84,165,196.4285714,,,225,984
105,9,Ob,105|CHN,Gobi Interior,54|CHN,CHN,Existing,1,0.84,840,0.036758,0.014307973,14.307973,327.84,165,196.4285714,,,225,984
106,9,Ob,105|CHN,Gobi Interior,54|CHN,CHN,Existing,2,0.84,840,0.029767,0.011586741,11.586741,327.84,165,196.4285714,,,225,984
107,9,Ob,105|CHN,Gobi Interior,54|CHN,CHN,Existing,3,0.84,840,0.150135,0.058439728,58.439728,327.84,165,196.4285714,,,225,984
108,9,Ob,105|CHN,Gobi Interior,54|CHN,CHN,Existing,4,0.84,840,0.444828,0.173148348,173.148348,327.84,165,196.4285714,,,225,984
109,9,Ob,105|CHN,Gobi Interior,54|CHN,CHN,Existing,5,0.84,840,0.366912,0.142819712,142.819712,327.84,165,196.4285714,,,225,984
110,9,Ob,105|CHN,Gobi Interior,54|CHN,CHN,Existing,6,0.84,840,0.306692,0.119379205,119.379205,327.84,165,196.4285714,,,225,984
111,9,Ob,105|CHN,Gobi Interior,54|CHN,CHN,Existing,7,0.84,840,0.274285,0.10676485,106.76485,327.84,165,196.4285714,,,225,984
112,9,Ob,105|CHN,Gobi Interior,54|CHN,CHN,Existing,8,0.84,840,0.192845,0.075064504,75.064504,327.84,165,196.4285714,,,225,984
113,9,Ob,105|CHN,Gobi Interior,54|CHN,CHN,Existing,9,0.84,840,0.146453,0.057006517,57.006517,327.84,165,196.4285714,,,225,984
114,9,Ob,105|CHN,Gobi Interior,54|CHN,CHN,Existing,10,0.84,840,0.103806,0.040406264,40.406264,327.84,165,196.4285714,,,225,984
115,9,Ob,105|CHN,Gobi Interior,54|CHN,CHN,Existing,11,0.84,840,0.061086,0.023777595,23.777595,327.84,165,196.4285714,,,225,984
116,9,Ob,105|CHN,Gobi Interior,54|CHN,CHN,Existing,12,0.84,840,0.044441,0.017298564,17.298564,327.84,165,196.4285714,,,225,984
117,10,Huang He,62|CHN,Yangtze,159|CHN,CHN,Existing,year,0.75,750,,,0,221.11,0,0,,,0,0
118,10,Huang He,62|CHN,Yangtze,159|CHN,CHN,Existing,1,0.75,750,4.834713,0.029907119,29.907119,221.11,0,0,,,0,0
119,10,Huang He,62|CHN,Yangtze,159|CHN,CHN,Existing,2,0.75,750,4.373283,0.027052753,27.052753,221.11,0,0,,,0,0
120,10,Huang He,62|CHN,Yangtze,159|CHN,CHN,Existing,3,0.75,750,5.559875,0.034392909,34.392909,221.11,0,0,,,0,0
121,10,Huang He,62|CHN,Yangtze,159|CHN,CHN,Existing,4,0.75,750,6.820114,0.04218864,42.18864,221.11,0,0,,,0,0
122,10,Huang He,62|CHN,Yangtze,159|CHN,CHN,Existing,5,0.75,750,10.380193,0.064210983,64.210983,221.11,0,0,,,0,0
123,10,Huang He,62|CHN,Yangtze,159|CHN,CHN,Existing,6,0.75,750,13.120795,0.081164111,81.164111,221.11,0,0,,,0,0
124,10,Huang He,62|CHN,Yangtze,159|CHN,CHN,Existing,7,0.75,750,17.934271,0.11093986,110.93986,221.11,0,0,,,0,0
125,10,Huang He,62|CHN,Yangtze,159|CHN,CHN,Existing,8,0.75,750,16.778697,0.103791579,103.791579,221.11,0,0,,,0,0
126,10,Huang He,62|CHN,Yangtze,159|CHN,CHN,Existing,9,0.75,750,15.996471,0.098952796,98.952796,221.11,0,0,,,0,0
127,10,Huang He,62|CHN,Yangtze,159|CHN,CHN,Existing,10,0.75,750,12.492241,0.07727593,77.27593,221.11,0,0,,,0,0
128,10,Huang He,62|CHN,Yangtze,159|CHN,CHN,Existing,11,0.75,750,7.348766,0.045458835,45.458835,221.11,0,0,,,0,0
129,10,Huang He,62|CHN,Yangtze,159|CHN,CHN,Existing,12,0.75,750,5.603777,0.034664483,34.664483,221.11,0,0,,,0,0
130,11,Yangtze,159|CHN,Huang He,62|CHN,CHN,Planned,year,17.4,17400,,,0,883.68,82291,4729.367816,9.76,560919.5402,5399,23647
131,11,Yangtze,159|CHN,Huang He,62|CHN,CHN,Planned,1,17.4,17400,2.20991,0.462515631,462.515631,883.68,82291,4729.367816,9.76,560919.5402,5399,23647
132,11,Yangtze,159|CHN,Huang He,62|CHN,CHN,Planned,2,17.4,17400,1.659475,0.347314202,347.314202,883.68,82291,4729.367816,9.76,560919.5402,5399,23647
133,11,Yangtze,159|CHN,Huang He,62|CHN,CHN,Planned,3,17.4,17400,2.033387,0.425570848,425.570848,883.68,82291,4729.367816,9.76,560919.5402,5399,23647
134,11,Yangtze,159|CHN,Huang He,62|CHN,CHN,Planned,4,17.4,17400,2.841074,0.594612964,594.612964,883.68,82291,4729.367816,9.76,560919.5402,5399,23647
135,11,Yangtze,159|CHN,Huang He,62|CHN,CHN,Planned,5,17.4,17400,5.931844,1.241485206,1241.485206,883.68,82291,4729.367816,9.76,560919.5402,5399,23647
