id,source,recipient,status,time,vol_yr,runoff,vol_mon
1,Yangtze,China Coast,Existing,1,7.72,46.046056,0.291566588
1,Yangtze,China Coast,Existing,2,7.72,48.407726,0.306520835
1,Yangtze,China Coast,Existing,3,7.72,74.086165,0.469118362
1,Yangtze,China Coast,Existing,4,7.72,97.072668,0.614670378
1,Yangtze,China Coast,Existing,5,7.72,132.570034,0.839441983
1,Yangtze,China Coast,Existing,6,7.72,174.728938,1.106394874
1,Yangtze,China Coast,Existing,7,7.72,181.399557,1.148633663
1,Yangtze,China Coast,Existing,8,7.72,142.884207,0.904751989
1,Yangtze,China Coast,Existing,9,7.72,114.418885,0.72450774
1,Yangtze,China Coast,Existing,10,7.72,89.810121,0.568683463
1,Yangtze,China Coast,Existing,11,7.72,68.031734,0.430781316
1,Yangtze,China Coast,Existing,12,7.72,49.735567,0.314928809
2,Yangtze,Ziya He interior,Existing,1,5.73,0.894802,0.11717342
2,Yangtze,Ziya He interior,Existing,2,5.73,0.869659,0.11388097
2,Yangtze,Ziya He interior,Existing,3,5.73,1.712559,0.224257875
2,Yangtze,Ziya He interior,Existing,4,5.73,2.948241,0.386069188
2,Yangtze,Ziya He interior,Existing,5,5.73,4.044866,0.529671126
2,Yangtze,Ziya He interior,Existing,6,5.73,4.391159,0.575017845
2,Yangtze,Ziya He interior,Existing,7,5.73,6.946454,0.90963115
2,Yangtze,Ziya He interior,Existing,8,5.73,6.002041,0.78596122
2,Yangtze,Ziya He interior,Existing,9,5.73,6.411617,0.839594784
2,Yangtze,Ziya He interior,Existing,10,5.73,5.189427,0.679550235
2,Yangtze,Ziya He interior,Existing,11,5.73,2.866914,0.375419499
2,Yangtze,Ziya He interior,Existing,12,5.73,1.479757,0.193772688
3,Yangtze,China Coast,Existing,1,3.38,46.046056,0.127654802
3,Yangtze,China Coast,Existing,2,3.38,48.407726,0.134202127
3,Yangtze,China Coast,Existing,3,3.38,74.086165,0.2053912
3,Yangtze,China Coast,Existing,4,3.38,97.072668,0.269117342
3,Yangtze,China Coast,Existing,5,3.38,132.570034,0.367527707
3,Yangtze,China Coast,Existing,6,3.38,174.728938,0.484406046
3,Yangtze,China Coast,Existing,7,3.38,181.399557,0.502899194
3,Yangtze,China Coast,Existing,8,3.38,142.884207,0.396121985
3,Yangtze,China Coast,Existing,9,3.38,114.418885,0.317206756
3,Yangtze,China Coast,Existing,10,3.38,89.810121,0.248983174
3,Yangtze,China Coast,Existing,11,3.38,68.031734,0.188606327
3,Yangtze,China Coast,Existing,12,3.38,49.735567,0.137883339
4,Huang He,Ziya He interior,Existing,1,3.02,4.975242,0.121512127
4,Huang He,Ziya He interior,Existing,2,3.02,4.490979,0.109684797
4,Huang He,Ziya He interior,Existing,3,3.02,5.684062,0.138823893
