NAME,BASIN,REGION,BASIN_ID,area,area_km2,BCU_name
Africa East Central Coast - AFR,Africa East Central Coast,AFR,1.000000000000000,85.640719270884702,1037883.574572063633241,1|AFR
Africa Indian Ocean Coast - AFR,Africa Indian Ocean Coast,AFR,2.000000000000000,21.127409156691915,243899.943980056879809,2|AFR
Africa North Interior - AFR,Africa North Interior,AFR,3.000000000000000,105.216562217766423,1209639.379213199019432,3|AFR
Africa North West Coast - AFR,Africa North West Coast,AFR,4.000000000000000,25.687340655600575,298426.823374682164285,4|AFR
Africa Red Sea Gulf of Aden Coast - AFR,Africa Red Sea Gulf of Aden Coast,AFR,5.000000000000000,48.304441467967038,585874.354092505527660,5|AFR
Africa South Interior - AFR,Africa South Interior,AFR,6.000000000000000,74.323243553460301,863903.144677721662447,6|AFR
Africa West Coast - AFR,Africa West Coast,AFR,7.000000000000000,67.720748400469873,822709.492280389298685,7|AFR
Africa West Coast - AFR,Africa West Coast,AFR,8.000000000000000,16.012711824888612,195431.288593632489210,8|AFR
Angola Coast - AFR,Angola Coast,AFR,13.000000000000000,42.135065292865619,506503.729172050894704,13|AFR
Congo - AFR,Congo,AFR,38.000000000000000,301.203469949460327,3688468.879523366689682,38|AFR
Gulf of Guinea - AFR,Gulf of Guinea,AFR,57.000000000000000,57.633131788586908,707844.131026168004610,57|AFR
Lake Chad - AFR,Lake Chad,AFR,78.000000000000000,189.082585256173957,2245019.215334198437631,78|AFR
Limpopo - AFR,Limpopo,AFR,80.000000000000000,36.340794954616811,411537.149830088717863,80|AFR
Madagascar - AFR,Madagascar,AFR,82.000000000000000,51.051155922904250,592815.646554963896051,82|AFR
Namibia Coast - AFR,Namibia Coast,AFR,92.000000000000000,22.833251206832262,260119.130274544499116,92|AFR
Niger - AFR,Niger,AFR,95.000000000000000,163.275560520987085,1954311.590534176677465,95|AFR
Nile - AFR,Nile,AFR,96.000000000000000,69.575061646342547,848888.285966384923086,96|AFR
Orange - AFR,Orange,AFR,107.000000000000000,89.092829476891907,975683.027671570074745,107|AFR
Rift Valley - AFR,Rift Valley,AFR,121.000000000000000,52.691470748962033,642681.064563093008474,121|AFR
Senegal - AFR,Senegal,AFR,129.000000000000000,38.377050641518551,456381.408755590498913,129|AFR
Shebelli Juba - AFR,Shebelli Juba,AFR,130.000000000000000,64.761076811753640,794436.545225901412778,130|AFR
South Africa South Coast - AFR,South Africa South Coast,AFR,135.000000000000000,37.839637339632169,402570.386649232765194,135|AFR
South Africa West Coast - AFR,South Africa West Coast,AFR,136.000000000000000,10.546935747516766,110964.506621828753850,136|AFR
Volta - AFR,Volta,AFR,158.000000000000000,33.958874978698979,410999.801449513528496,158|AFR
Zambezi - AFR,Zambezi,AFR,161.000000000000000,115.441817038753555,1373200.908397931838408,161|AFR
Amur - CHN,Amur,CHN,11.000000000000000,118.195176436824838,988839.351250819163397,11|CHN
China Coast - CHN,China Coast,CHN,35.000000000000000,35.231458626208365,369974.818192495324183,35|CHN
Ganges Bramaputra - CHN,Ganges Bramaputra,CHN,53.000000000000000,29.359386990568247,315813.627336444158573,53|CHN
Gobi Interior - CHN,Gobi Interior,CHN,54.000000000000000,96.413939998232394,876111.696252716821618,54|CHN
Hainan - CHN,Hainan,CHN,60.000000000000000,2.934501638159110,34161.449856905273919,60|CHN
Hong Red River Xun Jiang South China Sea Coast - CHN,Hong Red River Xun Jiang South China Sea Coast,CHN,61.000000000000000,57.905352536406042,652476.224748953012750,61|CHN
Huang He - CHN,Huang He,CHN,62.000000000000000,97.589270637605239,963305.893215728690848,62|CHN
