,BCU,15C_average,15C_h08_gfdl-esm4,15C_h08_ipsl-cm6a-lr,15C_h08_mpi-esm1-2-hr,15C_h08_mri-esm2-0,15C_h08_ukesm1-0-ll,3C_average,3C_h08_gfdl-esm4,3C_h08_ipsl-cm6a-lr,3C_h08_mpi-esm1-2-hr,3C_h08_mri-esm2-0,3C_h08_ukesm1-0-ll,baseline
0,1|AFR,-0.123129181718,-0.208336354568,-0.13075210024,-0.0939852450892,-0.124215507114,-0.0583566948335,-0.11694055686,-0.176492049522,-0.110061846973,-0.0701187536197,-0.152055528449,-0.0759746004896,-0.120319689035
1,2|AFR,-0.1949232714,-0.0847144580312,-0.150266486587,-0.216543695163,-0.246214598023,-0.276877107539,-0.164205552004,-0.137325357377,-0.0427810176388,-0.168624432425,-0.224106601969,-0.248190347931,-0.167495823627
2,3|AFR,-0.000849290616785,-0.000608297028521,-0.00116396370868,-0.000727063837985,-0.000956361151637,-0.000790767408034,-0.000628871359368,-0.000720499090676,-0.000837816558487,-0.000756553243264,-0.000305144666527,-0.000524343158759,-0.00116728720604
3,4|AFR,-0.00281612398976,-0.00239640107247,-0.00292957283091,-0.00292817971786,-0.00292544258991,-0.00290102316649,-0.00250079197576,-0.0020861603698,-0.00262507654588,-0.00282137109025,-0.0021541976821,-0.00281715400342,-0.00292957283091
4,5|AFR,-0.101330594896,-0.125973096262,-0.108458007406,-0.123874661913,-0.120407558965,-0.0279396422895,-0.100561164776,-0.125778713819,-0.118192977206,-0.067162062604,-0.113469936307,-0.0782021265754,-0.112212565765
5,6|AFR,-0.00444144853282,-0.00260801509967,-0.00184872429623,-0.00351114935506,-0.00630559799538,-0.00793375584499,-0.00585873097009,-0.00561553442446,-0.000299193864862,-0.00201414051844,-0.00660461172583,-0.0147601743947,-0.00248468848952
6,7|AFR,-0.0845351898117,-0.0885415174671,-0.0856841276254,-0.0771499746979,-0.094397104398,-0.0769032342023,-0.0881097041389,-0.113186864502,-0.0863668179009,-0.0884601025728,-0.0778451295737,-0.0746896013488,-0.0703255016415
7,8|AFR,-0.000781174996519,-0.00103112717625,-0.00076171301771,-0.00136203569127,-0.000750999141019,0.0,-0.000969192838284,-0.00333325212159,-0.00076171301771,-0.000750999141019,0.0,0.0,0.0
8,13|AFR,-0.000557445119284,-0.000745350698708,-0.000903755211766,-0.000391324330849,-0.000682841338858,-6.39540066913e-05,-0.000765414036778,-0.00103335413041,-0.000795504939106,-0.00177850805812,-0.000160111960213,-5.95910678385e-05,-0.000415519174567
9,38|AFR,-0.00870227941596,-0.0121205870155,-0.00900278998415,-0.0100754152372,-0.00994211047328,-0.00237049504904,-0.00958308989527,-0.0167783028164,-0.0080799537036,-0.0080519915482,-0.0125129592243,-0.00249224237996,-0.00857306100988
10,57|AFR,-0.000647784261218,-0.000884241301719,-0.000778847582296,-0.00108210957933,-0.000428194392043,-6.55284220556e-05,-0.000626402608191,-0.00164458676318,-0.00115559275582,-0.000155492306476,-0.000176341161932,0.0,-0.000383254984627
11,78|AFR,-0.529465854223,-0.286874573443,-0.888047718072,-0.740003149466,-0.383885785312,-0.34851802858,-0.405706398898,-0.581310511546,-0.673066727782,-0.30535329227,-0.227256978104,-0.241544483986,-0.813161757834
12,80|AFR,-0.612368122591,-0.526010913577,-0.428589774194,-0.765437620348,-0.498382887909,-0.843419454509,-0.602445614779,-0.706303089984,-0.299360665304,-0.802598565747,-0.552819607727,-0.65114616238,-0.490993787465
13,82|AFR,-0.180780554383,-0.225212471343,-0.203390543895,-0.073746192018,-0.120073933169,-0.281479630479,-0.112859917092,-0.100232253578,-0.0931140816283,-0.0912206229805,-0.116339377648,-0.163393256003,-0.083576750003
14,92|AFR,-0.000335112425091,-0.000635103915101,0.0,-0.000592338507886,-0.000385351617297,-6.27680929028e-05,-0.000466647882376,-0.000813803043457,0.0,-0.000548097985302,-0.000414436867686,-0.000556901493837,-0.000390743972275
15,95|AFR,-0.976473456412,-0.728280771256,-1.16787887286,-1.04211998717,-0.998904107342,-0.94518353116,-0.832833140789,-1.08676584423,-0.990914492505,-0.661351670649,-0.718519030448,-0.706614609682,-1.17129767529
16,96|AFR,-0.185069622535,-0.10165158793,-0.217145273913,-0.266095925923,-0.200694181266,-0.13976116023,-0.147111707607,-0.171960492095,-0.126087093573,-0.136615953101,-0.15888654898,-0.14200845235,-0.189234052667
17,107|AFR,-0.455823252932,-0.382328453343,-0.262292937055,-0.450895856111,-0.519777799789,-0.663821222356,-0.509621550686,-0.576356329217,-0.196064860183,-0.484012447201,-0.564939474484,-0.7267346091,-0.293093931417
18,121|AFR,-0.248395514545,-0.210909919988,-0.286910901261,-0.293131672023,-0.322978614018,-0.128046479483,-0.216713199943,-0.244235204211,-0.224682684016,-0.199732334688,-0.219553705852,-0.195362053168,-0.307905609014
19,129|AFR,-0.181874843461,-0.180412430334,-0.180568379275,-0.175895279718,-0.19028183613,-0.182216276114,-0.181830350678,-0.186264172978,-0.182626932924,-0.182018805779,-0.175820146965,-0.182421687676,-0.178357999946
20,130|AFR,-0.226228725135,-0.229711518728,-0.270311547052,-0.210919479341,-0.33182815366,-0.0883729165143,-0.231538741632,-0.239896444418,-0.253834677318,-0.163839920588,-0.338225949405,-0.161896702486,-0.258397141773
21,135|AFR,-0.686600369691,-0.610467725817,-0.6455817669,-0.716971488157,-0.719225787378,-0.740755102539,-0.754979329515,-0.771877997098,-0.683227198038,-0.8412552892,-0.724740930415,-0.753795206841,-0.653896585738
22,136|AFR,-0.620694498493,-0.666384289274,-0.601524477743,-0.61475342507,-0.571227786163,-0.649582494167,-0.671618282451,-0.739445193321,-0.610126673535,-0.70203341858,-0.609866076493,-0.696620035713,-0.634367772785
23,158|AFR,-0.0790594186301,-0.0672101308064,-0.0796108277464,-0.0914164111546,-0.0767290623808,-0.0803306665894,-0.065491465286,-0.122105839313,-0.0720026276631,-0.0229726094603,-0.055737268518,-0.0546389721003,-0.0738631425429
24,161|AFR,-0.315393842428,-0.184782392864,-0.225659057928,-0.329518433963,-0.371683580634,-0.465325772607,-0.341462198275,-0.242146553991,-0.121248228325,-0.28873599191,-0.434440805636,-0.620739420992,-0.237167963662
25,11|CHN,-1.19338017118,-1.16851377175,-1.18658441003,-0.990571154025,-1.76676133855,-0.854470174975,-1.25412064413,-1.64415291238,-1.58993644718,-1.37835721724,-0.501539228408,-1.15661745118,-0.994198901807
26,35|CHN,-5.03765018603,-4.28229687965,-2.76754714537,-6.98792084632,-6.24558092863,-4.90490502433,-5.57603363731,-4.79141067306,-5.39144890872,-5.70668646286,-6.45251493357,-5.53810719494,-3.91866139718
27,53|CHN,-0.00636401405472,-0.0100937778107,-0.00284174131957,-0.00906772810595,-0.00521079965802,-0.00460602339081,-0.00462256135643,-0.00861047254148,-0.00152413649266,-0.00716632056537,-0.0022944074226,-0.00351746968772,-0.00357855000857
28,54|CHN,-1.38281515128,-1.24516171613,-1.4580692525,-1.70974028779,-1.36494384485,-1.13616076812,-1.41352195339,-1.21507652706,-1.67285070251,-1.66284968273,-1.35803794073,-1.1587949665,-1.32920564172
29,60|CHN,0.0,0.0,0.0,0.0,0.0,0.0,-0.00179246801417,0.0,-0.00896234018728,0.0,0.0,0.0,0.0
30,61|CHN,-0.382558186742,-0.388297922022,-0.327201032502,-0.341154827889,-0.443447634156,-0.412689505023,-0.458287549427,-0.452539234888,-0.462533446203,-0.470648641885,-0.449121750813,-0.456594680698,-0.263987732746
31,62|CHN,-4.70146932869,-4.43318464032,-3.69684424158,-6.36445704269,-5.18032099341,-3.83253965028,-4.77073648827,-4.76211739593,-5.5034032275,-5.03524897787,-4.6413849132,-3.91152777806,-4.53310039296
32,67|CHN,-4.16198151925e-05,-8.10627693681e-05,-3.20581816595e-05,0.0,0.0,-9.49781237978e-05,-5.25032563985e-05,-7.91094571468e-05,-4.66199344373e-05,-1.66978097695e-05,0.0,-0.00012008908152,-0.000106268774744
33,70|CHN,-0.0068821113091,-0.00720229733997,-0.00611394999214,-0.00448591999157,-0.00688006074051,-0.00972832849766,-0.0101034706563,-0.00820276655213,-0.0125836302577,-0.00319387913987,-0.0202538430276,-0.00628323380806,-0.00116057106243
34,77|CHN,-0.626162953397,-0.618004608754,-0.63365215213,-0.642806222702,-0.684231496082,-0.552120339821,-0.626284745201,-0.53272498502,-0.777848388345,-0.751016590251,-0.626277321688,-0.443556422455,-0.589462789732
35,88|CHN,-0.0199362483254,-0.0202841441642,-0.0185678140924,-0.0136576337718,-0.0271306432769,-0.0200410061661,-0.0297745938369,-0.0367078504569,-0.032840844302,-0.0226772379356,-0.0303440360149,-0.0263030022033,-0.0169147372289
36,98|CHN,-2.26637723214,-3.01950310003,-1.84514342789,-1.63917591212,-2.83153046017,-1.99653328071,-2.39623923841,-2.93892522094,-2.8902769614,-2.32360376451,-1.67768133327,-2.15070889093,-2.05859577723
